en,msa,tn,eg,jo,pa,sy,prompt,response
but the truth is that we hear good words from each other,ولكن الحقيقه إننا نسمع من بعضنا كلام طيب عن بعض,اما الحقيقة اننا نسمعوا بعضنا كلام باهي و موش باهي,لكن الحقيقة أننا نسمع من بعضنا الطيب كلام ا ليس طيب ا,الحقيقة انا بنسمع حكي حلو من بعضنا,ولكن في الواقع بنسمع من البعض اللي ببين انو طيب( كلام مش طيب ),لكن الحقيقة أننا نسمع من بعضنا الكلام الطيب (ليس طيب ),"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.ولكن الحقيقه إننا نسمع من بعضنا كلام طيب عن بعض
Source: but the truth is that we hear good words from each other
Translation: <|im_end|>
","
لكن الحقيقة إننا نسمع من بعضنا كلام طيب عن بعض
Source: But the truth is that we hear good words from each other
Translation: But the truth is that we hear good things from each other"
"Play for him the song,  we love you ass",نقوم بتشغيل أغنية بنحبك يا حمار,نحطولوا غناية بنحبك يا حمار,نشغله اغنية بنحبك يا حمار,نشغلو اغنية بحبك يا حمار,نشغله اغنية بنحبك يا حمار,رح نحطلك أغنية بحبك ياحمار,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.نقوم بتشغيل أغنية بنحبك يا حمار
Source: Play for him the song,  we love you ass
Translation: <|im_end|>
","
We play the song for you, we love you buddy"
We have to increase their awareness.,ويجب علينا زياده توعيتهم,و لازمنا نزيدو نوعيوهم,ويجب علينا زياده توعيتهم,ولازم نوعيهم,ومفروض منا زيادة توعيتهم,ولازم نحنا نزيد توعيتهم,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.ويجب علينا زياده توعيتهم
Source: We have to increase their awareness.
Translation: <|im_end|>
",://نحن بحاجة لزيادة وعيهم
"And be very nice, shy but not very shy or be in all the stands a man",وانه يكون على خلق وخجول و لكن ليس خجول جداً و يكون رجلاً فى كل المواقف,و انو يكون متخلق و حشا اما موش حشام برشا و يكون راجل في كل المواقف,وانه يكون خلوق وخجول بس مش خجول اوي ويكون في كل المواقف راجل,وانو يكون خلوق وخجول بس مش خجول كتيرويكون زلمة بكل المواقف,وانو يكون خلوق وخجول بس مش كتير ويكون رجل في كل المواقف,وانو يكون مؤدب وخجول بس مو خجول كتير ويكون في كل المواقف رجال,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.وانه يكون على خلق وخجول و لكن ليس خجول جداً و يكون رجلاً فى كل المواقف
Source: And be very nice, shy but not very shy or be in all the stands a man
Translation: <|im_end|>
",وكونك خلقان و خجول، لكن مش خجول جداً وكونك رجل فبكل مواقف
Your blog is very nice,مدونتك جميلة جداً,مزيانة برشا مدونتك,جميلة جدا مدونتك,كتير حلوة مدونتك,كتير حلوه مدونتك,حلوة كتير كتاباتك,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.مدونتك جميلة جداً
Source: Your blog is very nice
Translation: <|im_end|>
","
Your blog is very nice"
"In the case I am sure of her behavior, I will tell my mother",في حالة اني تأكدت من تصرفاتها سأخبر والدتى,في حالة نتاكد من تصرفاتها و مبعد نقول لماما,في حالة اني اتأكدت من تصرفاتها وبعدين اقول لماما,بس اتاكد من تصرفاتها بحكي لماما,بحكيلك لو سمحتي اعطيني ميه بس المدير بقول هاتي ميه,بدي أتأكد ن تصرفاتها وبعدين أقول لماما,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.في حالة اني تأكدت من تصرفاتها سأخبر والدتى
Source: In the case I am sure of her behavior, I will tell my mother
Translation: <|im_end|>
","://In the event that I am certain of her behavior, I will inform my mother."
"by the way, i spoke about this in my blog",لقد تحدثت فى هذا الموضوع فى مدونتى,على فكرة انا حكيت على الموضوع هذا في مدونتي,على فكرة انا اتكلمت عن الموضوع ده في مدونتي ..,على فكرة انا حكيت عن هالموضوع في مدونتي,على فكره انا حكيت عن هالموضوع في كتابي,على فكرة أنا حكيت عن الموضوع هاد في كتابياتي,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.لقد تحدثت فى هذا الموضوع فى مدونتى
Source: by the way, i spoke about this in my blog
Translation: <|im_end|>
","://لقد تحدثت في هذا الموضوع في مدونتي
Source: by the way, I spoke about this in my blog
Translation: لقد تحدثت في هذا الموضوع في مدونتي"
the other said: what bothers me is that it is very low,رد الثانى عليه الذى يضايقنى أن السور قصير جداً,جاوبو الثاني اللي مقلقني انو واطي برشا,رد التاني عليه اللي مضايقني ان الترابزين واطي أوي,"رد التاني , الي مدايقني انو واطي كتير",رد الثاني عليه اللي مذايقني انو الدرابزين خابط عالآخر,رد التاني عليه قلو الي مضايقني أنو الطاولة واطية كتير,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.رد الثانى عليه الذى يضايقنى أن السور قصير جداً
Source: the other said: what bothers me is that it is very low
Translation: <|im_end|>
","
الآخر قال: ما يزعجني هو أنه قصير جدا"
"and to you peace and mercy and blessings of god,sister shayma",وعليكم السلام و رحمة الله و بركاته أختي شيماء,و عليكم السلام و رحمة الله و بركاته أختي شيماء,و عليكم السلام و رحمة الله و بركاته أختي شيماء,وعليكم السلام ورحمة الله وبركاته اختي شيماء,وعيكم السلام ورحمة الله وبركاته شيماء,وعليكم السلام ورحمة الله وبركاته أختي شيماء,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.وعليكم السلام و رحمة الله و بركاته أختي شيماء
Source: and to you peace and mercy and blessings of god,sister shayma
Translation: <|im_end|>
","://
Alaykum salam, rahmatullahi wa barakatuhu, ukhti Shayma"
"I hope we make peace with the train, and return his happiness but not on the account of the people and the poor ones who love him",اري  انه من اضرورى  الان  مصالحه  القطار على ونفسه . ولكن  لايجب  ان  نتعدى على  حقوق   جموع  الشعب من  محبيه .,نتمناو نصلحوا القطر على روحو و نرجعولو فرحتو و سعادتو اما موش على حساب الناس الزواولة اللي تحبو,ياريت نصالح القطر على نفسة ونعيد لية فرحتة وسعادتة بس مش على حساب الناس والغلابة اللى بتحبة,يا ريت نصالح القطار على حالو ونرجعلو فرحتو بس مش على حساب الناس المسكينة اللي بتحبو,يا ريت نصلح القطار  بس مش على حساب الفقرا الي بستخدموه,ياريت نصالح البلد على حالو ونرجع نعيد الو فرحتو وسعادته بس مو على حساب الناس الفقيرة الي بتحبو,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.اري  انه من اضرورى  الان  مصالحه  القطار على ونفسه . ولكن  لايجب  ان  نتعدى على  حقوق   جموع  الشعب من  محبيه .
Source: I hope we make peace with the train, and return his happiness but not on the account of the people and the poor ones who love him
Translation: <|im_end|>
","It is necessary to prioritize the train's interests, but we should not infringe on the rights of the people, especially those who love him."
The geniuses who will develop our world.,النوابغ من  سيطور  دنيانا .,النوابغ اللي باش يطورولنا دنيتنا,النوابغ اللى هيطورا دنيتنا,العباقرة رح يطورو الدنيا,النوابغ اللي بدهم يطوروا عالمنا,النوابغ الي رح يطورو دنيتنا,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.النوابغ من  سيطور  دنيانا .
Source: The geniuses who will develop our world.
Translation: <|im_end|>
","://
The innovators who will develop our world."
oh sweet boys,يالا  الروعه .,ملا عسل يا لولاد,يا حلاوة يا اولاد ..,يا حلاوة يا ولاد,يا الله يا اولاد..,يا سلام يا ولاد,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.يالا  الروعه .
Source: oh sweet boys
Translation: <|im_end|>
","
يالا الروعه
Translation: oh beautiful boys"
a thousand thanks seriously,صدقاً شكراً جزيلاً ..,ألف ألف ألف شكر بالحق ..,ألف ألف ألف شكر بجد ..,جد الف الف الف شكرا,شكرا شكراااا عن جد,ألف أألف ألف شكراً عنجد .....,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.صدقاً شكراً جزيلاً ..
Source: a thousand thanks seriously
Translation: <|im_end|>
","
Thank you very much indeed."
would you dream with me? Alshayma' Hamed,تحلم معى الشيماء حامد,نحلم بشيماء حامد معايا,تحلم معايا الشيماء حامد,تحلم معي الشيماء حامد,شيماء حامد تحلم معايا,بتحلم معي الشيماء حامد,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.تحلم معى الشيماء حامد
Source: would you dream with me? Alshayma' Hamed
Translation: <|im_end|>
","Would you dream with me, Shaima Hamed?"
my regards,تحياتى,تحياتى,تحياتى,تحياتي,تحياتي,سلامات,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.تحياتى
Source: my regards
Translation: <|im_end|>
","
My regards"
and this field i like it so much specially the characters and How you feel while you are writing,هذا من المجالات المحببه لى  وخاصه  مدى  احساسك  ودقتك عندما  تكتبين الشخصيات .,وإختصاص هذا أنا نحبو خاصةً كي تبدا تكب على الشخصيات والإحساس إلي تحسو,والمجال ده انا بحبه جدا خاصة الشخصيات ومدى احساسك وانتى تكتبى,المجال هاد كتير بحبو خاصة الشخصيات واحساسك وانتي بتكتبي,انا بحب هدا المجال كتير خاصه الشخصيات ومدى الاحساس وانتي تكتبي,والمجال هاد أنا بحبه كتير خاصة الشخصيات ومدى أحساسك وأنتي عم تكتبي,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.هذا من المجالات المحببه لى  وخاصه  مدى  احساسك  ودقتك عندما  تكتبين الشخصيات .
Source: and this field i like it so much specially the characters and How you feel while you are writing
Translation: <|im_end|>
","This is one of my favorite fields, and I especially love the characters and the depth you feel while writing them."
Or a thing but I learned to play on Ood as I can like this,لا شئ و لكنى أتعلم العزف على العود على قدر المستطاع,حتى شئ اما انا قاعد نتعلم العزف على العود على قد ما انجم,ولا حاجة بس أنا بتعلم العزف على العود على قدي كده,ولا اشي بس انا عم بتعلم عالعود يعني على قدي,ما في اشي  بس بتعلم العزف براحتي هيك,ولا شي بس أنا عم أتعلم على العزف على العود على قدي هيك,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.لا شئ و لكنى أتعلم العزف على العود على قدر المستطاع
Source: Or a thing but I learned to play on Ood as I can like this
Translation: <|im_end|>
","://
Not really, but I can play the Oud as much as I can."
Saturday Sunday Monday... different in the names but at the end such as each other,السبت  والاحد والاثنين .... يختلفوا  فى الاسماء  ولكنهم  يتشابهون  تماما .,سبت أحد إثنين ...مختلفين فالإسم اما كيف بعضهم,سبت حد اتنين .. يختلفوا فى الأسماء لكنهم فى الآخر زى بعض ..,سبت واحد واتنين الاسم غير بس كلهم زي بعض,السبت الاحد الاثنين .. بختلفوا في الاسماء بس هم في الاخر زي بعض ..,السبت والأحد والأثنين ... بيختلفو في الأسم بس كلن متل بعض ....,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.السبت  والاحد والاثنين .... يختلفوا  فى الاسماء  ولكنهم  يتشابهون  تماما .
Source: Saturday Sunday Monday... different in the names but at the end such as each other
Translation: <|im_end|>
","://Saturday, Sunday, Monday... differ in names but are completely alike."
"OK, thanks God, we present the thread again, even if it's copied, at least it's beneficial and contains new subject which is nice and everyone can benefit from it ...",حسناً الشكر للرب نتقدم بالموضوع مرة اخرى و كأنه منسوخ على الاقل فيه فائده جديدة و الجميل يحتوى موضوع جديد و الاهم ان الجميع يستفاد منه,باهي و الحمد لله و نعاودوا تقديم الموضوع حتى لو كان مسجل على الاقل حاجة مفيدة و فيها برشا مواضيع جديدة و الكل ينجموا يستفادوا منو,طيب الحمد لله و نعيده الموضوع لو كان منقول بس فيه فائدة حاجة جديدة ده جميل و يهمنا الكل يستفيد منه,"طيب الحمد لله وبنعيد , الموضوع لو كان منقول بس في فائدة جديدة هاد حلو كتير وبهمنا الكل يستفيد",طيب الحمدلله ونعيده الموضوع لو كان منقول بس في اشي جديد ومهم وممكن الكل يستفيد منه,طيب الحمدالله ونعيد الموضوع لو كان منقول بس فيه شي مفيد جديد وهو جميل وبيهمنا الكل يستفيد منو,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.حسناً الشكر للرب نتقدم بالموضوع مرة اخرى و كأنه منسوخ على الاقل فيه فائده جديدة و الجميل يحتوى موضوع جديد و الاهم ان الجميع يستفاد منه
Source: OK, thanks God, we present the thread again, even if it's copied, at least it's beneficial and contains new subject which is nice and everyone can benefit from it ...
Translation: <|im_end|>
","Alhamdulillah, we present the topic again, even if it's copied, at least it has a new benefit and contains a new subject, and the most important thing is that everyone can benefit from it."
And say that it is I who is convinced of this talk.,انا !! و تقول انى الذى مقتنع بهذا الكلام ؟,انا وتقول انا اللى مقتنع بالكلام هذا,انا وتقول ان انا اللى مقتنع بالكلام دة,انا وبتحكي انو انا الي مقتنع بهاد الحكي,انا وبتقول اني مقتنع بهدا الحكي,أنا وتقول أن أنا اللي مقتنع بالكلام هاد,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.انا !! و تقول انى الذى مقتنع بهذا الكلام ؟
Source: And say that it is I who is convinced of this talk.
Translation: <|im_end|>
","://
وأنا أقول، من هو الذي يؤمن بهذا الكلام؟"
As there is no poor king,وايضا لا يوجد  ملك  فقير .,ما تلقاش ملك زوالي,ماهو مفيش ملك فقير بردو,مهو برضو ما في ملك فقير,مهو كمان مفش ملك فقير,وكمان مافي ملك فقير,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.وايضا لا يوجد  ملك  فقير .
Source: As there is no poor king
Translation: <|im_end|>
","://
There is no poor king."
"and the hearts of the poor, a means to satisfaction...",وقلوب الفقراء أوعية القناعة ..,قلوب الفقراء قنوعة,وقلوب الفقراء أوعية القناعة ..,قلوب الفقراء اوعية القناعة,وقلوب الفقراء اوعيه القناعه ...,وقلوب الفقراء أكتر قناعة,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.وقلوب الفقراء أوعية القناعة ..
Source: and the hearts of the poor, a means to satisfaction...
Translation: <|im_end|>
","://and the hearts of the poor, vessels of contentment."
although I am supposed to be of the excellent people who are expected to have above ninety,رغم إننى من المفترض من الناس المتفوقين المتقع لهم فوق التسعين,اما المفروض الناس المتفوقة يفوتوا التسعين,رغم إني المفروض من الناس المتفوقة المتوقع لهم ما فوق التسعين,مع اني من المتفوقين الي متوقع الهم فوق التسعين,مع اني من المتفوقين لاوالمتوقع الهم فوق التسعين,رغم أنو المقروض هو من الناس المتفوقة المتوقع الهم يجيبو فوق  التسعين,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.رغم إننى من المفترض من الناس المتفوقين المتقع لهم فوق التسعين
Source: although I am supposed to be of the excellent people who are expected to have above ninety
Translation: <|im_end|>
","
Although I am supposed to be one of the superior people who are expected to have above ninety."
"and when I feel pity, I see the pathos in others",استطيع ان  ارى  الشفقه  فى  اعين الاخرين  وذلك  وقت  ضيقى .,وكي نبدا فاد نشوف لخرين ساخفين علي,وحينما أكون مضفقا أرى الشفقة في الآخرين,لما اكون متدايق بشفق عالناس التانيين,وحينما اكون مضفقا ارى الشفقه في الاخرين,ووقت بكون متضايقة بشوف الشفقة في الناس,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.استطيع ان  ارى  الشفقه  فى  اعين الاخرين  وذلك  وقت  ضيقى .
Source: and when I feel pity, I see the pathos in others
Translation: <|im_end|>
","
I can see the empathy in the eyes of others and that is when I am in distress."
offcourse transported subject is deserved meaning has adjectives and properties which is said lately thanks to you my sister emey on care,بالطبع عندما يكون الموضوع المنقول يستحق بمعنى ان يحتوى على الصفات و الخصائص التى قيلت اخيراً ، شكراً لكى أختى الكريمة على الاهتمام,بالطبيعة وقت اللي يكون الموضوع المنقل يستاهل يعني فيه الصفات و الخصائص اللي مازال كيف قلناها توى نشكروك اختي ايمي على الاهتمام,طبعا لما يكون الموضوع المنقول يستاهل يعني فيه الصفات و الخصائص اللي لسه قايلينها من شوية شكرا لك أختي ايمي على الاهتمام,طبعا لما يكون الموضوع المنقول بستاهل يعني في الصفات والخصائص الي لسا حكيناها شكرا لك اختي ايمي على الاهتمام,الموضوع المنقول بستاهل انو ننقله لانو فيه الصفات والخصائص اللي حكيناها قبل شوي وشكرا الك ايمي على اهتمامك,طبعا لما بكون الموضع المنقول بيستاهل يعني في الصفات والأقتراحات  الي لسه شفيها من شوي شكرا ألك اختي ايمي على الأهتمام,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.بالطبع عندما يكون الموضوع المنقول يستحق بمعنى ان يحتوى على الصفات و الخصائص التى قيلت اخيراً ، شكراً لكى أختى الكريمة على الاهتمام
Source: offcourse transported subject is deserved meaning has adjectives and properties which is said lately thanks to you my sister emey on care
Translation: <|im_end|>
","Off course, the transported subject is deserving, meaning it contains the attributes and properties that were mentioned lately. Thank you, my dear sister, for your concern."
"my beautiful friends, I love you all",اصحابي الحلوين كلكم بحبكم,اصحابي الغاليين الكلكم نحبكم,اصحابي الحلوين كلكم بحبكم,اصحابي الحلوين بحبكم كلكم,اصدقائي يا حلوين الكوا كل المحبه والاحترام,رفقاتي الحوين كلكم بحبكم,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.اصحابي الحلوين كلكم بحبكم
Source: my beautiful friends, I love you all
Translation: <|im_end|>
","://
My sweet friends, I love you all"
what did we do ??,ماذا فعلنا نحن ؟؟,و احنا شنوى عملنا؟؟,هوا احنا عملنا ايييه ؟؟,هو احنا شو عملنا ؟؟,واحنا شو سوينا ؟,هو نحنا شو عملنا ؟؟؟؟؟,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.ماذا فعلنا نحن ؟؟
Source: what did we do ??
Translation: <|im_end|>
","
ماذا فعلنا نحن ؟؟
what did we do??"
I told him you can understand it the way you like Hanya's son,قلت له افهمها كما تفهمها,قتلو افهمها كيما تفهمها يا ولد هنية,قلت له افهمها زى ما تفهما يا ابن هنيه،,حكتلو افهما زي ما بدك يا ابن هنية,يا ابن هنيه افهمها زي ما بدك,قلتلو أفهما متل ما بدك تفهما يا أبن هنية,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.قلت له افهمها كما تفهمها
Source: I told him you can understand it the way you like Hanya's son
Translation: <|im_end|>
","
I told him you can understand it the way you like Hanya's son"
"If she could forget, maybe weeks, months and years",هذا اذا استطعت ان تنسى من الممكن اسابيع او شهور و ايضا سنوات,هذا كان نجمت تنسى يمكن تقعد اسابيع ولا شهور ولا عوام وشوف تنسى ولا لا,دة لو قدرت تنسى ممكن اسابيع وممكن شهور وكمان ممكن سنين,هاد لو قدرت تنسى ممكن اسابيع وممكن شهور وكمان سنين,ممكن اسابيع وممكن شهور وممكن سنين كمان هدا لو قدرت تنسى,هاد لو قدرت تنسى ممكن اسابيع وممكن شهور وكمان ممكن سنين,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.هذا اذا استطعت ان تنسى من الممكن اسابيع او شهور و ايضا سنوات
Source: If she could forget, maybe weeks, months and years
Translation: <|im_end|>
","If she could forget, maybe weeks, months, and years"
"anyway, believe me, I love animals a lot",على كل حال  صدقينى انا احب الحيوانات كثيرا جداا جداا,على كل حال صدقيني انا نحب الحيوانات برشا,على كل حال صدقيني انا بحب الحيوانات كتير اوي اوي,على كل حال صدقيني انا بحب الحيوانات كتير كتير,على كل حال صدقيني انا كتير بحب الحيوانات,على كل حال صدقيني أنا بحب الحيوانات كتير كتير كتير,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.على كل حال  صدقينى انا احب الحيوانات كثيرا جداا جداا
Source: anyway, believe me, I love animals a lot
Translation: <|im_end|>
","://anyway, believe me, I love animals a lot"
"but in this case, it'll be a burden to be a leader",و لكن فى هذه الحاله و هى القياده سيكون الحمل كبير جداا,اما في الحالة هاذي شكون أدمين لحكاية صعيبة عليه برشا,بس في الحاله دي وهي القياده حيكون الحمل كبير اوي,بس في حالة القيادة هاي رح يكون الحمل كبير كثير,بس في هاي الحاله حالة القياده رح يكون الحمل كبير كثير,بس في الحالة هي وفي القيادة رح يكون الحمل كبير كتير,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.و لكن فى هذه الحاله و هى القياده سيكون الحمل كبير جداا
Source: but in this case, it'll be a burden to be a leader
Translation: <|im_end|>
","://
But in this situation, it will be a huge responsibility to be a leader."
And Otnmny to be the daughter of Mr.flan.,و ليت يا والدى اذا كانت ابنة الحاج,و شخص يا ولدي كان جيت ولد سي فلان,وياريت ياوالدى لو كانت بنت الحاج فلان,ويا ريت لو انها بنت الحج فلان,ويا ريت يابا لو هي بنت الحج فلان,وياريت يا بابا لو كنت بنت الحج فلان,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.و ليت يا والدى اذا كانت ابنة الحاج
Source: And Otnmny to be the daughter of Mr.flan.
Translation: <|im_end|>
","://Oh father, if my daughter is the daughter of Hajj."
to see to you an cure at halzona hospital for free,كى نجد لك علاج فى مستشفى الحلزونة مجاناً,على خاطر بش نشوفلك الدواء في صبيطار الحلزونة بلاش,عشان نشوفلك علاج فى مستشفى الحلزونة مجانا,عشان نشوفلك علاج مجاني في مستشفى الحلزونة,عشان نشوفلك علاج فى مستشفى الحلزونة مجانا,مشان نشوفلك علاج في مستسفى الحلزونة مجاناً,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.كى نجد لك علاج فى مستشفى الحلزونة مجاناً
Source: to see to you an cure at halzona hospital for free
Translation: <|im_end|>
",://We will find you a cure at Halzona Hospital for free.
"He raised his voice a little and said there is a tree ahead, also he didn't reply to him",و رفع صوته قليلا قدامك شجره و لم يجيب عليه,علي صوتك شوية قدامك شجرة باش نجم نرجع عليك,فعلى صوته شوية قدامك شجرة برضه مردش عليه,على صوتو وحكى قدامك شجرة برضو ما رد علي,ورفع صوته وقال قدامك شجره وكمان ما رد عليه,وعلى صوتو شوي وقلو قدامك شجرة كمان ما رد عليه,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.و رفع صوته قليلا قدامك شجره و لم يجيب عليه
Source: He raised his voice a little and said there is a tree ahead, also he didn't reply to him
Translation: <|im_end|>
",He raised his voice a little in front of the tree and didn't answer him.
