eg,en,jo,msa,pa,sy,tn,prompt,response
بص هو فعلا موضوع الحفلات فى الجامعه ده مش صح اساسا لان المفروض ان الجامعه دى مكان للتعليم ده المفروض يعنى والحفلات دى ليها اماكنها,listen really the party topic at the university is not true because basically the university is a place for teaching this is basically which means that the party has its own place,شوف هو موضوع الحفلات بالجامعة مش صح لانو الجامعة مكان تعليم والحفلات الها اماكنها,اسمع، موضوع الحزب في الجامعة ليس صحيحاً لأن الجامعة في الأساس هي مكان للتعليم وهذا يعني أن الحزب له مكانه الخاص,شوف هو عمل الحفلات في الجامعه اصلا مش صح لانو هو مكان للتعليم مش مكان رقص واغاني والحفلات الها امكن خاصه هيك المفروض,شوف هو فعلا موضوع الحفلات في الجامعة هاد مو صح اساسا لأنو المفروض انو الجامعة هي مكان للتعليم هاد المفروض يعني والحفلات هي الها أماكنها,شوف هو بالحق موضوع الحفلات فى الجامعة موش صحيح جملة على خاطر المفروض ان الجامعة نقراو فيها هذا هو المفروض والحفلات هاذي ليها بقعتها,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.يوجد الكثيريين أخلاقهم هى أساسهم و كما يوجد الطالح يوجد ايضا الصالح و شكرا على الموضوع الجميل هذا
Source: There are many that has their manners as their bases and like there is a good one there is a bad one! Thanks for this nice topic
Translation: <|im_end|>
<|im_start|>assistant
فما برشا اخلاقهم هي اساسهم وكيما فما الطالح فما الصالح و شكرا على الموضوع لحلو هذا<|im_end|>
<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.اسمع، موضوع الحزب في الجامعة ليس صحيحاً لأن الجامعة في الأساس هي مكان للتعليم وهذا يعني أن الحزب له مكانه الخاص
Source: listen really the party topic at the university is not true because basically the university is a place for teaching this is basically which means that the party has its own place
Translation: <|im_end|>
","
اسمع، الموضوع دى الحزب في الجامعة ما يصوب لأن الجامعة في الأساس مكان للتعليم وهذا يعني أن الحزب له مكانه الخاص"
البرنامج ده تدخله ملف مكتوب او اى حاجة مكتوبة يخرجها من الناحية التانية ملف صوت متسجل بالكلام اللى مكتوب فى الورقة على هيئة امتداد,that program enter written file or any written things will extract from other side as audio file recorded with what written in the paper on shape of extension,هاد البرنامج بتدخلو ملف مكتوب من جهة وبطلعو ملف صوت بالحكي المكتوب من الجهة التانية بامتداد,قم بإدخال ملف مكتوب على هذا البرنامج يقوم بإخراجها كملف صوتى مُسجل بالكلام الذى كُتِب فى الملف كما يتغير إمتداده,الية عمل هدا البرنامج انو بتدخله البانات مكتوبه بطلعها صوت مسجل بالكلمات المكتوبه على الورقه على شكل امتداد,البرنامج هاد رح تدخله ملف مكتوب أو أي شي مكتوبة يخرج من الناحية التانية ملف صوت مسجل بالكلام الي مكتوب في الورقة على شكل أمتداد,هالبرنامج تدخلو ملف مكتوب ولا اى حاجة مكتوبة يخرجها من ا لجهة لخرى ملف صوت متسجل بالكلام اللى مكتوب فى الورقة على هيئة امتداد,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.نصيحه من اخ مخلص عندما كنت فى الجيش كنت اقضى وقتى كله نوم و هكذا كنت اتغلب على قسوه الحياه
Source: An advice from a loyal brother, when I was in the army I used to spend my time sleeping! This way I defeated the harsh life
Translation: <|im_end|>
<|im_start|>assistant
نصيحة من خو مخلص كيف كنت في الجيش كنت نعدي وقتي راقد .. وهكا نجمت نعدي الوقت<|im_end|>
<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.قم بإدخال ملف مكتوب على هذا البرنامج يقوم بإخراجها كملف صوتى مُسجل بالكلام الذى كُتِب فى الملف كما يتغير إمتداده
Source: that program enter written file or any written things will extract from other side as audio file recorded with what written in the paper on shape of extension
Translation: <|im_end|>
",قم بإدخال الملف المكتوب على هذا البرنامج ويتحول إلى ملف صوتي مسجل بالكلام المكتوب في الملف كما يتغير امتداده.
ابو وطن صباح شريف معاليك,"the father of this nation, good morning your honor",ابو وطن صاح شريف معاليك,ابو وطن صباح الخير سيادتك,صباح شريف معالي ابو وطن,أبو وطن صباح سعادتك,بو وطن صباح شريف يا سيدي,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.صباح الخير
Source: Good morning.
Translation: <|im_end|>
<|im_start|>assistant
صباحك سكر<|im_end|>
<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.ابو وطن صباح الخير سيادتك
Source: the father of this nation, good morning your honor
Translation: <|im_end|>
","
أبو وطني صباحك سعادتك"
بافرح اوي برضه من كلمات التدعيم و ان حد كلف نفسه ووقف يعلق بكلمه شايف انها ممكن تخفف عني ،,I get very happy also for the supporting words and that someone troubled himself and stopped to comment with a word that he thinks it could ease things up for me.,كتير بنبسط من كلمات التشجيع وانو حدا وقف يحكي يخفف عني,اكون سعيد ايضا من كلمات التدعيم و اذا شخص تكرم و علق بكل كلمه راها انها ستخفف عنى,بفرح كتير كمان من الكلام اللي بدعمني ولو في حدا يقولي كلام ممكن  يخفف عني يقوله,أنا بفرح كتير كمان من كلمات الي بتدعم الشخص وأن واحد كلف حالو ووقف يعلق بكلمة  هو شايف أنو هالكلمة ممكن  تخفف عني,راني نفرح عالاخر كي نلقى شكون يواسيني ويقف معايا,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.المشكلة أننى واثق أن كل شخص سيقرأ هذه النصائح سيشعر إنه كان يخطأ من قبل مثلى تماماً
Source: the problem is I trust that every one who is going to read these advices will feel that he used to make mistakes before just like my case of course...
Translation: <|im_end|>
<|im_start|>assistant
المشكلة اني متاكد اللي كل واحد باش يقرى النصايح باش يحس اللي هو كان غالط كيفي<|im_end|>
<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.اكون سعيد ايضا من كلمات التدعيم و اذا شخص تكرم و علق بكل كلمه راها انها ستخفف عنى
Source: I get very happy also for the supporting words and that someone troubled himself and stopped to comment with a word that he thinks it could ease things up for me.
Translation: <|im_end|>
","
أنا فخورش بكل كلمة دعم ولو شخص يتعب نفسه ويفكر بكل كلمة يعتقد انها بتخفف مني"
ده أخطر بكثير من حد بيزايد على أهداف سويف أو محمد بكري و برضه,this is more danger from one Gambling on souif or mohamrd bakry targets and also,هاد اخطر بكتير من حدا بزايد على اهداف سويف او محمد بكري وبوضو,هذا إخطر بكثير من أن أحد يراهن على أهداف سويف أو محمد بكرى أيضاً,هدا اخطر بكثير من حدا بيزايد على اهداف سويف او محمد بكري وكمان,هاد أخطر من حدا بيناسف على أهداف سويف أو محمد بكري,هذا اخطر ببرشة من حد يعلق على اهداف سويف ولا محمد بكري,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.هذه الفكرة ستنتج موضوع فى البداية اريد ان اقول ان أى شخص عنده شكوى يضعها فى بداية هذا الموضوع
Source: This idea will open a topic in the beginning I would say that someone has a complaint give it at the beginning of the topic
Translation: <|im_end|>
<|im_start|>assistant
هذي الفكرة باش تحل موضوع من الاول نحب نقول انو فما حد باش تعطيه شكوى من الاول<|im_end|>
<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.هذا إخطر بكثير من أن أحد يراهن على أهداف سويف أو محمد بكرى أيضاً
Source: this is more danger from one Gambling on souif or mohamrd bakry targets and also
Translation: <|im_end|>
","
هذا أهم من أن حد يلعب على أهداف سويف أو محمد بكرى أيضا"
ولا ايه اعتبرها قعدة زي قعدة ههه ربنا يوفقك,"or what? consider it a sitting like any sitting...haha, may god help you",ولا شو اعتبر قعدة زيه هاي القعدة الله يوفقك,ولقد  اعتبرها   جلسه مثل   جلسه .... هههه    وفقك  الله .,ولا شو اعتبرها قعده زي قعدة ههه الله يفرجها عليك,ولا شو اعتبرها قعدة متل قعدة هههههه  الله يوفقك,ولا شنوى حسبتها قاعدة كيما قاعدة ربي معاك,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.ان حياتك هكذا اصبحت مقرفه ومعقده جداً .
Source: that your life has become very difficult and complicated
Translation: <|im_end|>
<|im_start|>assistant
حياتك هكا ولات صعيبة و معقدة برشا<|im_end|>
<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.ولقد  اعتبرها   جلسه مثل   جلسه .... هههه    وفقك  الله .
Source: or what? consider it a sitting like any sitting...haha, may god help you
Translation: <|im_end|>
","
ولقد عتبرها جلسة مثل جلسة... هههه وفقك الله"
وتحياتي لك استاذ محمد نبيل,and my greetings Mr Mohammad Nabeel,تحياتي استاز محمد نبيل,و تحياتى لك استاذ محمد نبيل,وتحياتي استاذ  محمد نبيل,وسلامي الك يا استاذ محمد نبيل,وتحياتي ليك استاذ محمد نبيل,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.ليس انيس الذى تاتى الكره بقدمه
Source: Not Anis, who every time the football comes near his foot
Translation: <|im_end|>
<|im_start|>assistant
مش أنيس إلي كل مرة تجي الكرة في ساقو<|im_end|>
<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.و تحياتى لك استاذ محمد نبيل
Source: and my greetings Mr Mohammad Nabeel
Translation: <|im_end|>
","
و تحياتى لَك أستاذ محمد نبيل"
يبقى نجيب كام كتاب بيتكلم على المقاييس,We will bring a couple of books that talks about standards,بنجيب اكم كتاب بحكي عن المقاييس,سنحضر عدة كتب تناقش موضوع المقاييس,معناها نجيب اكم كتاب عن المقاييس,بيبقى نجيب كم كتاب بيحكي عن المقاييس,نوليو نجيبوا شويا كتب يحكيو على المقاييس,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.وبعض الرجال يقولون أنها تستمر في الذهاب برفقة صديقاتها
Source: And some of the guys says that she keeps going with her friends
Translation: <|im_end|>
<|im_start|>assistant
ويقولوا شوية شباب هى ماشية جايا مع اصحابها<|im_end|>
<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.سنحضر عدة كتب تناقش موضوع المقاييس
Source: We will bring a couple of books that talks about standards
Translation: <|im_end|>
","
نحضر بعض الكتب تتكلم عن المعايير"
ههه بس دول ياعيني قصتهم خلصت من زمااان ههه,hhh but those their story finished in the past,ههه بس هدول قصتهم خلصت من زمان,لكن هؤلاء قصتهم انتهت فى الماضى,ههه بس هدول يا حرام من زمان خلصت قصتهم ههه,ههههه بس هدول يا عيني قصتهم خلصت من زمان ههههه,ههه اما هذوما حكايتهم وفاة عندها برشا ههه,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.هناك أشياء غريبة فى أغلب المواضيع
Source: the strange thing is that most of the topics
Translation: <|im_end|>
<|im_start|>assistant
حاجة غريبة اكثر المواضي<|im_end|>
<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.لكن هؤلاء قصتهم انتهت فى الماضى
Source: hhh but those their story finished in the past
Translation: <|im_end|>
","
لكن قصتهم انتهت في الماضي"
يبقي يستاهل القتل,Then he deserves to be killed,اذا بستاهل القتل,يكون مصيره القتل,معناها بستاهل الموت,معناها بيستاهل القتل,يولي يستاهل القتل,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.يقترح مشاكل حقيقية مؤلمة بين الناس
Source: that suggest a real painful problems between people,
Translation: <|im_end|>
<|im_start|>assistant
يقترح مشاكل واقعية مؤلمة صايرة بين الناس<|im_end|>
<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.يكون مصيره القتل
Source: Then he deserves to be killed
Translation: <|im_end|>
","
يستحق الموت"
خربان و نا نجار دواليبكم هي كده قسمتي ؟,it is corrupted..this is the carpenter of your wheels..this is my fate?,"خربان وانا نجار عجالكم , هاي قسمتي ونصيبي ؟",إنه لا يصلح وهذا نجار دوالبيكم ، هل هذا نصيبى ؟,خالص وانا عامل اشغالكم كلها هذي قسمتي ؟,خربان وأنا نجار خزناتكم هي هيك قسمتي بهالدنيا ؟,دوالبكم مخربين و انا نجار نصلحهم هذاك زهري؟,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.الجنة ، يا رب أتمنى المغادرة و الذهاب الى هناك
Source: paradise, I hope to leave and go there, Oh god
Translation: <|im_end|>
<|im_start|>assistant
الجنة يا ربي ندخل و نمشي للجنة يا ربي<|im_end|>
<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.إنه لا يصلح وهذا نجار دوالبيكم ، هل هذا نصيبى ؟
Source: it is corrupted..this is the carpenter of your wheels..this is my fate?
Translation: <|im_end|>
","
إنه مشوه وهذا النجار دوالبيك، هل هذا مصيري؟"
وتنسي ان الذوق الداخلي تنسي انه تقول كلمه حلوه,"And forget about the inner taste , forget to say a sweet word",وتنسي تحكي كلمة حلوة من باب الذوق,و تنسى ان الذوق الداخلى ان تقول له كلمه جميله,وتنسى ان الذوق من الداخل وتنسى تحكي كلمه حلوه,وتنسى أن الذوق من جوا وتنسى تقول كلمة حلوة,تنجم تنسى بش تقول كلام حلو,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.الصوره التى تضيعها التى بها اطفال مؤثره جداا و واضح انك شخصيه متأثره بموضوع غزه
Source: the photo you put is really touching and seems like you're personally touched by the matter of Ghaza
Translation: <|im_end|>
<|im_start|>assistant
التصويرة اللي حطتها متاع لولاد الصغار مؤثرة برشا و واضح اللي انت شخصية متاثرة بموضوع غزة<|im_end|>
<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.و تنسى ان الذوق الداخلى ان تقول له كلمه جميله
Source: And forget about the inner taste , forget to say a sweet word
Translation: <|im_end|>
","
و تنسى الذوق الداخلى ان تقول له كلمه حلوة"
وانت اللي لك الاختيار في الاول والاخر,And you have the choice after all,اول عن اخر انت الي رح تختار,وأنت الذى تملك الأختيار فى جميع الأحوال,والاختيار برجعلك,وانت الي ألك الاختيار في الأول والأخير,وانت اللي تختار في الاول وفي الاخر,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.اشكرك استاذ جمال واتمنى الا تبتعد مرة اخرى  عن الكتابه.
Source: thank you mr.gamal i hope to be not late another time in writing
Translation: <|im_end|>
<|im_start|>assistant
نشكرك أستاذ جمال أما نتمنى ماتغيبش مرة أخرى على كتابة<|im_end|>
<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.وأنت الذى تملك الأختيار فى جميع الأحوال
Source: And you have the choice after all
Translation: <|im_end|>
","
أنت اللي تملك الخيار دايما"
وميرسى اوى على التوبيك الجميل اوى ده وانا أحب اشكرك علي هذا الرد الجميل أما بخصوص الشباب فربنا يهدي الجميع يا رب الله يخليك,"Thanks a lot for the very nice topic and I would love to thank you for this nice reply! About the guys, god guide all! God bless you",وشكرا كتير على الموضوع الحلو كثير وبشكرك على الرد الحلو . اما بخصوص الشباب ف الله يهديهم .,و شكرا جداً على هذا الموضوع الجميل جدا و احب اشكرك ايضا على هذا الرد الجميل اما بخصوص الشباب ربنا يهدى الجميع,شكرا كتير على هالموضوع الحلو هدا وكمان بحب اشكرك على ردك المميز اما بخصوص الشباب بتمنى ربنا يهديهم والله يخليك,شكرا كتير على التوبيك الحلو كتير هاد وأنا بحب أشكرك  على هالرد الجميل أما بخصوص الشباب الله  يهدي الجميع يارب الله يخليك,ومرسي برشا على التوبيك لحلو هذا وانا نحب نشكرك على الجاست لحلوة اما الشباب ربي يهديهم وربي يخليك,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.مرحباً بكى يا هبه نحن مشتاقين اليكِ و الله سيجعل كل شىء جيد ، شكراً على مشاركتك الطيبة و نتمنى لكِ أياماً سعيدة ولكن هذه السيدة
Source: You are lightening Heba, we missed you. God make it all good. Thank you for passing by, and hopefully all your days will be happy, but this lady
Translation: <|im_end|>
<|im_start|>assistant
منورة يا هبة والله ليك وحشة و ان شاء الله خير نشكرك على مرورك لحلو و يا رب تكون ايامك الكلها سعيدة اما المرا هذي<|im_end|>
<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.و شكرا جداً على هذا الموضوع الجميل جدا و احب اشكرك ايضا على هذا الرد الجميل اما بخصوص الشباب ربنا يهدى الجميع
Source: Thanks a lot for the very nice topic and I would love to thank you for this nice reply! About the guys, god guide all! God bless you
Translation: <|im_end|>
",شكرا جزيلا على هذا الموضوع الممتاز جدا و احب ان اشكرك ايضا على هذا الرد الممتاز اما بخصوص الشباب يارب يهدي الجميع و يبارك لكم
لا الناس دى بتفهم بس انت عارف لو الاولمبياد دى فى الهند كنت ممكن اصدق ان هم بيعملوا الشعار كده,"no, those guys understand but you know what, if the Olympics were in India i would have believed that they could do the logo this way",لا الناس هاي بتفهم عارف لو الاولمبياد في الهند كنت ممكن اصدق انهم بعملو الشعار هيك,هؤلاء الاشخاص يفهمون و لكن انت تعرف اذا الاولمبياد كان فى الهند لكان من الممكن ان اصدق انهم يفعلون هذا الشعار,لا هدول بفهموا بس انت عارف لو الالومبياد هدي في الهند ممكن اصدق انو هم بيسووا هيك شعار,لا الناس هي بتقهم بس أنت بتعرف لو الأولمبيات هي في الهند كنت ممكن أصدق أن هن بيعملوا الشعار هاد,الناس هذوما ما يفهموش اما انت تعرف كان الالمبيادهاذي في الهنديمكن كنت نصدق اللي الشعار يعملوه هكا,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.وجميعنا نعانى من هذا الموضوع وخاصة عندما تركب المترو ويا حبذا لو كان فى الصباح الباكر أو فى ميعاد خروج الموظفين
Source: all of us sufficant from this subject and exactly such as if ride metro and  would love that if doing that's at morning or at time when the staff exit
Translation: <|im_end|>
<|im_start|>assistant
الكلنا نعانيو من الموضوع هذابالذات مثال كيف تركب ميترو و ماذابيك الصباح بكري ولا في وقت خروج الخدامة<|im_end|>
<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.هؤلاء الاشخاص يفهمون و لكن انت تعرف اذا الاولمبياد كان فى الهند لكان من الممكن ان اصدق انهم يفعلون هذا الشعار
Source: no, those guys understand but you know what, if the Olympics were in India i would have believed that they could do the logo this way
Translation: <|im_end|>
","
هؤلاء الناس بيفهمو لكن انت تعرف، إذا كان الألعاب الأولمبية في الهند لكانت معقولة أنهم قادرون على فعل الشعار بهذه الطريقة"
فى حين أن كل شاب يأنف أن يرتبط جديا بفتاة أخذ منها معظم ما يريد,While every guys that wants to be with a girl for real and take most of what he wants from her,كل شب بدو جد يرتبط ببنت اخذ منها كل الي بدو اياه,فى حين أن كل شاب يأنف أن يرتبط جديا بفتاة أخذ منها معظم ما يريد,من ناحيه ثانيه كل شب برفض يرتبط  بالبنت اللي اخذ منها اللي بدو اياه,في الأغالب أن كل شاب رح يرفض انو يرتبط بفتاة أخد منها معظم الي بدو ياه,فى حين أن كل شاب يأنف أن يرتبط جديا بفتاة أخذ منها معظم ما يريد,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.فى حفله عيد ميلادك أطلب منه أن يشغل أغنيه بعينها مره تلو الاخرى حيث أنى أحب هذه الأغنيه جداً
Source: in yoyr birthday party i will ask him to play the song his eye once back i like this song too much O people
Translation: <|im_end|>
<|im_start|>assistant
في عيد ميلادك باش نحطو غناية العين ظاهرة برشا مرات يا جماعة انا نحبها برشا الغناية هاذي<|im_end|>
<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.فى حين أن كل شاب يأنف أن يرتبط جديا بفتاة أخذ منها معظم ما يريد
Source: While every guys that wants to be with a girl for real and take most of what he wants from her
Translation: <|im_end|>
","
في وقت ما كل شاب يريدها يكون مع بنت حقيقي ويأخذ الكثير مما يريده منها يا بنات"
الرساله بقي اللي من النوعيه دي انا بعتز بيها جدا وبخليها عندي دائما,The letter of this type I appreciate it a lot and keep it for me always,الرسالة الي من النوعية هاي انا بعتز فيها كتير وبخليها عندي,الرسالة من هذة النوعية أنا أعتز بها جداً وأتركها عندى دائماً,الرساله اللي هيك انا بعتز فيها  كتير وبخليها معي دايما,الرسالة الي من هالنوعية أنا بتشرف فيها وبخليها عندي على طول,الجواب اللي من النوع هذا انا نعتز بيها برشا و نخليها ديما عندي,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.انت دائما ً جاهز ولكننا تقدمنا فى العمر على هذه المواقف
Source: Is always ready , man , we grew old for this talk
Translation: <|im_end|>
<|im_start|>assistant
ديما حاضرين احنا كبرنا يا راجل على الكلام هذا<|im_end|>
<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.الرسالة من هذة النوعية أنا أعتز بها جداً وأتركها عندى دائماً
Source: The letter of this type I appreciate it a lot and keep it for me always
Translation: <|im_end|>
","
الرسالة دي من نوعي احترسها بزاف وبدونها دايما"
وفى ناس بتزعل من بعض وحبايب بيتفرقوا عن بعض,And some people gets mad of each other and dear ones who leave each other,وفي ناس بزعلو من بعض وحبايب بتفرقو عن بعض,وبعض الناس يغضبون على بعضهم البعض والأعزاء يتركون بعضهم,وفي نا بتتزاعل وحبايب بفترقوا,وفي ناس بتزعل من بعض وحبايب بيتفرقوا عن بعض,فما ناس يتغششوا على بعضهم وأحباب يبعدوا على بعضهم,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.عندما يفاجئوا بانهم على العكس لذلك ، يتعبوا ويدعواعليهم
Source: When they got suprirised that they are in opposition to that, they get tired and pray on them
Translation: <|im_end|>
<|im_start|>assistant
وقت اللي يفاجئو اللي هوما العكس يتعبوا و يدعيو عليهم<|im_end|>
<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.وبعض الناس يغضبون على بعضهم البعض والأعزاء يتركون بعضهم
Source: And some people gets mad of each other and dear ones who leave each other
Translation: <|im_end|>
","
بعض الناس بيغضبو بعض و الأعزاء بيتركون بعض"
لكن الحقيقة أننا نسمع من بعضنا الطيب كلام ا ليس طيب ا,but the truth is that we hear good words from each other,الحقيقة انا بنسمع حكي حلو من بعضنا,ولكن الحقيقه إننا نسمع من بعضنا كلام طيب عن بعض,ولكن في الواقع بنسمع من البعض اللي ببين انو طيب( كلام مش طيب ),لكن الحقيقة أننا نسمع من بعضنا الكلام الطيب (ليس طيب ),اما الحقيقة اننا نسمعوا بعضنا كلام باهي و موش باهي,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.ومن المكن ان  يتجاوبوا  معه و  تجربه  طرق  اخرى للتقرب  والتودد  اليه .
Source: I swear to god they will respond , and they will try in a way or another to approach him and befriend him
Translation: <|im_end|>
<|im_start|>assistant
والله يمكن يقبلوا ويحاولوا مرة أخرى باش يتقرب منه ولا يتودد به<|im_end|>
<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.ولكن الحقيقه إننا نسمع من بعضنا كلام طيب عن بعض
Source: but the truth is that we hear good words from each other
Translation: <|im_end|>
","
لكن الحقيقة إننا نسمع من بعضنا كلام طيب"
نشغله اغنية بنحبك يا حمار,"Play for him the song,  we love you ass",نشغلو اغنية بحبك يا حمار,نقوم بتشغيل أغنية بنحبك يا حمار,نشغله اغنية بنحبك يا حمار,رح نحطلك أغنية بحبك ياحمار,نحطولوا غناية بنحبك يا حمار,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.حسناً ياجميل أقسم لم اقولها إلا بحسن نية
Source: O.K. beautiful .. in the name of Allah i never said it except in good intent only
Translation: <|im_end|>
<|im_start|>assistant
باهي يا حلوة والله عمري ما قلتها الا بحسن نية<|im_end|>
<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.نقوم بتشغيل أغنية بنحبك يا حمار
Source: Play for him the song,  we love you ass
Translation: <|im_end|>
","
نقوم بتشغيل الأغنية بنحبك يا حمار"
ويجب علينا زياده توعيتهم,We have to increase their awareness.,ولازم نوعيهم,ويجب علينا زياده توعيتهم,ومفروض منا زيادة توعيتهم,ولازم نحنا نزيد توعيتهم,و لازمنا نزيدو نوعيوهم,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.على مدونتي ورثة ابليس تشرفني زيارتكم
Source: you are very welcome visiting my blog
Translation: <|im_end|>
<|im_start|>assistant
ههه على مدونتي ورثة ابليس متشرف بجيتكم<|im_end|>
<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.ويجب علينا زياده توعيتهم
Source: We have to increase their awareness.
Translation: <|im_end|>
","
نستلزم زيادة توعيتهم"
وانه يكون خلوق وخجول بس مش خجول اوي ويكون في كل المواقف راجل,"And be very nice, shy but not very shy or be in all the stands a man",وانو يكون خلوق وخجول بس مش خجول كتيرويكون زلمة بكل المواقف,وانه يكون على خلق وخجول و لكن ليس خجول جداً و يكون رجلاً فى كل المواقف,وانو يكون خلوق وخجول بس مش كتير ويكون رجل في كل المواقف,وانو يكون مؤدب وخجول بس مو خجول كتير ويكون في كل المواقف رجال,و انو يكون متخلق و حشا اما موش حشام برشا و يكون راجل في كل المواقف,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.بالتأكيد البنات بمعنى أننى لا استطيع رؤية بنت جميلة و عليا ان اركز فيها كثيراً
Source: certainly girls meaning that I cannot see a beautiful girl and focus a lot,
Translation: <|im_end|>
<|im_start|>assistant
اكيد اكيد البنات يعني انا ما نجمش نشوف بنية مزيانة و نركز برشا موش مزيانة برشا<|im_end|>
<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.وانه يكون على خلق وخجول و لكن ليس خجول جداً و يكون رجلاً فى كل المواقف
Source: And be very nice, shy but not very shy or be in all the stands a man
Translation: <|im_end|>
",و يكون خفيف و خجول بس ما خجولش جدا و يكون رجل ف كل الواقف
جميلة جدا مدونتك,Your blog is very nice,كتير حلوة مدونتك,مدونتك جميلة جداً,كتير حلوه مدونتك,حلوة كتير كتاباتك,مزيانة برشا مدونتك,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.جميلة جداً
Source: ha very strong
Translation: <|im_end|>
<|im_start|>assistant
ههههه ما كش نورمال<|im_end|>
<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.مدونتك جميلة جداً
Source: Your blog is very nice
Translation: <|im_end|>
","
مدونتك حلوة وجميلة"
