eg,en,jo,msa,pa,sy,tn,prompt,response
لا الناس دى بتفهم بس انت عارف لو الاولمبياد دى فى الهند كنت ممكن اصدق ان هم بيعملوا الشعار كده,"no, those guys understand but you know what, if the Olympics were in India i would have believed that they could do the logo this way",لا الناس هاي بتفهم عارف لو الاولمبياد في الهند كنت ممكن اصدق انهم بعملو الشعار هيك,هؤلاء الاشخاص يفهمون و لكن انت تعرف اذا الاولمبياد كان فى الهند لكان من الممكن ان اصدق انهم يفعلون هذا الشعار,لا هدول بفهموا بس انت عارف لو الالومبياد هدي في الهند ممكن اصدق انو هم بيسووا هيك شعار,لا الناس هي بتقهم بس أنت بتعرف لو الأولمبيات هي في الهند كنت ممكن أصدق أن هن بيعملوا الشعار هاد,الناس هذوما ما يفهموش اما انت تعرف كان الالمبيادهاذي في الهنديمكن كنت نصدق اللي الشعار يعملوه هكا,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.هؤلاء الاشخاص يفهمون و لكن انت تعرف اذا الاولمبياد كان فى الهند لكان من الممكن ان اصدق انهم يفعلون هذا الشعار
Source: no, those guys understand but you know what, if the Olympics were in India i would have believed that they could do the logo this way
Translation: <|im_end|>
","இந்த நபர்கள் புரிகின்றனர், ஆனால் நீங்கள் அறிந்து கொள்க, உலக விளம்பரம் இந்தியாவில் இருந்திருந்தால், அவர்கள் இப்படியாக இணைப்பு சின்னம் செய்வது உண்டாயிருக்கும் என்று நம்நீர் நம்ப முடியும்."
فى حين أن كل شاب يأنف أن يرتبط جديا بفتاة أخذ منها معظم ما يريد,While every guys that wants to be with a girl for real and take most of what he wants from her,كل شب بدو جد يرتبط ببنت اخذ منها كل الي بدو اياه,فى حين أن كل شاب يأنف أن يرتبط جديا بفتاة أخذ منها معظم ما يريد,من ناحيه ثانيه كل شب برفض يرتبط  بالبنت اللي اخذ منها اللي بدو اياه,في الأغالب أن كل شاب رح يرفض انو يرتبط بفتاة أخد منها معظم الي بدو ياه,فى حين أن كل شاب يأنف أن يرتبط جديا بفتاة أخذ منها معظم ما يريد,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.فى حين أن كل شاب يأنف أن يرتبط جديا بفتاة أخذ منها معظم ما يريد
Source: While every guys that wants to be with a girl for real and take most of what he wants from her
Translation: <|im_end|>
","
எந்தாவது ஆண் அவர் ஒரு பெண்ணுடன் நிலைநிரைவதற்கு முடியும் மற்றும் அவரிடையே அவர் விரும்பும் பெரும்பால் பெற விரும்புகின்றார்"
الرساله بقي اللي من النوعيه دي انا بعتز بيها جدا وبخليها عندي دائما,The letter of this type I appreciate it a lot and keep it for me always,الرسالة الي من النوعية هاي انا بعتز فيها كتير وبخليها عندي,الرسالة من هذة النوعية أنا أعتز بها جداً وأتركها عندى دائماً,الرساله اللي هيك انا بعتز فيها  كتير وبخليها معي دايما,الرسالة الي من هالنوعية أنا بتشرف فيها وبخليها عندي على طول,الجواب اللي من النوع هذا انا نعتز بيها برشا و نخليها ديما عندي,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.الرسالة من هذة النوعية أنا أعتز بها جداً وأتركها عندى دائماً
Source: The letter of this type I appreciate it a lot and keep it for me always
Translation: <|im_end|>
","
إنتشارات تي أن: أنا بحب هذة النوعية من الرسائل وبتشوفها دائماً عندى"
وفى ناس بتزعل من بعض وحبايب بيتفرقوا عن بعض,And some people gets mad of each other and dear ones who leave each other,وفي ناس بزعلو من بعض وحبايب بتفرقو عن بعض,وبعض الناس يغضبون على بعضهم البعض والأعزاء يتركون بعضهم,وفي نا بتتزاعل وحبايب بفترقوا,وفي ناس بتزعل من بعض وحبايب بيتفرقوا عن بعض,فما ناس يتغششوا على بعضهم وأحباب يبعدوا على بعضهم,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.وبعض الناس يغضبون على بعضهم البعض والأعزاء يتركون بعضهم
Source: And some people gets mad of each other and dear ones who leave each other
Translation: <|im_end|>
",://பலரும் ஒருவருக்கோர் ஒருவர் அனைவர் மற்றும் அன்னையான நண்பர்கள் ஒருவருக்கோர் ஒருவர்.
لكن الحقيقة أننا نسمع من بعضنا الطيب كلام ا ليس طيب ا,but the truth is that we hear good words from each other,الحقيقة انا بنسمع حكي حلو من بعضنا,ولكن الحقيقه إننا نسمع من بعضنا كلام طيب عن بعض,ولكن في الواقع بنسمع من البعض اللي ببين انو طيب( كلام مش طيب ),لكن الحقيقة أننا نسمع من بعضنا الكلام الطيب (ليس طيب ),اما الحقيقة اننا نسمعوا بعضنا كلام باهي و موش باهي,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.ولكن الحقيقه إننا نسمع من بعضنا كلام طيب عن بعض
Source: but the truth is that we hear good words from each other
Translation: <|im_end|>
","
لكن الحقيقة إننا نسمع من بعضنا كلام طيب عن بعض"
نشغله اغنية بنحبك يا حمار,"Play for him the song,  we love you ass",نشغلو اغنية بحبك يا حمار,نقوم بتشغيل أغنية بنحبك يا حمار,نشغله اغنية بنحبك يا حمار,رح نحطلك أغنية بحبك ياحمار,نحطولوا غناية بنحبك يا حمار,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.نقوم بتشغيل أغنية بنحبك يا حمار
Source: Play for him the song,  we love you ass
Translation: <|im_end|>
","
நாம் அவருக்கு பாடல் ஒன்றை விளையடிக்கிறோம், நாம் நீங்கள் அவரை விட்டு வருகிறோம்"
ويجب علينا زياده توعيتهم,We have to increase their awareness.,ولازم نوعيهم,ويجب علينا زياده توعيتهم,ومفروض منا زيادة توعيتهم,ولازم نحنا نزيد توعيتهم,و لازمنا نزيدو نوعيوهم,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.ويجب علينا زياده توعيتهم
Source: We have to increase their awareness.
Translation: <|im_end|>
",://நாம் அவரது அறிவுக்கு அதிகம் அளவு அளிக்க வேண்டும்.
وانه يكون خلوق وخجول بس مش خجول اوي ويكون في كل المواقف راجل,"And be very nice, shy but not very shy or be in all the stands a man",وانو يكون خلوق وخجول بس مش خجول كتيرويكون زلمة بكل المواقف,وانه يكون على خلق وخجول و لكن ليس خجول جداً و يكون رجلاً فى كل المواقف,وانو يكون خلوق وخجول بس مش كتير ويكون رجل في كل المواقف,وانو يكون مؤدب وخجول بس مو خجول كتير ويكون في كل المواقف رجال,و انو يكون متخلق و حشا اما موش حشام برشا و يكون راجل في كل المواقف,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.وانه يكون على خلق وخجول و لكن ليس خجول جداً و يكون رجلاً فى كل المواقف
Source: And be very nice, shy but not very shy or be in all the stands a man
Translation: <|im_end|>
","மிகவும் அனுந்தான் மற்றும் அருக்கமான, ஆனால் மிகர் அருக்கமானவனாக இராக்கக் கூடாது மற்றும் அனைத்து நிலைகளிலும் ஆணனாக இருக்கவேண்டும்."
جميلة جدا مدونتك,Your blog is very nice,كتير حلوة مدونتك,مدونتك جميلة جداً,كتير حلوه مدونتك,حلوة كتير كتاباتك,مزيانة برشا مدونتك,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.مدونتك جميلة جداً
Source: Your blog is very nice
Translation: <|im_end|>
","
உங்கள் ப்ளாக் மிகவும் அழிக்கப்பெரியது"
في حالة اني اتأكدت من تصرفاتها وبعدين اقول لماما,"In the case I am sure of her behavior, I will tell my mother",بس اتاكد من تصرفاتها بحكي لماما,في حالة اني تأكدت من تصرفاتها سأخبر والدتى,بحكيلك لو سمحتي اعطيني ميه بس المدير بقول هاتي ميه,بدي أتأكد ن تصرفاتها وبعدين أقول لماما,في حالة نتاكد من تصرفاتها و مبعد نقول لماما,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.في حالة اني تأكدت من تصرفاتها سأخبر والدتى
Source: In the case I am sure of her behavior, I will tell my mother
Translation: <|im_end|>
",://إذا كنت متأكدًا من سلوكها، سأقول لأمى
على فكرة انا اتكلمت عن الموضوع ده في مدونتي ..,"by the way, i spoke about this in my blog",على فكرة انا حكيت عن هالموضوع في مدونتي,لقد تحدثت فى هذا الموضوع فى مدونتى,على فكره انا حكيت عن هالموضوع في كتابي,على فكرة أنا حكيت عن الموضوع هاد في كتابياتي,على فكرة انا حكيت على الموضوع هذا في مدونتي,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.لقد تحدثت فى هذا الموضوع فى مدونتى
Source: by the way, i spoke about this in my blog
Translation: <|im_end|>
",://இந்த விஷயத்தில் எனது ப்ளாகில் பேசினேன்
رد التاني عليه اللي مضايقني ان الترابزين واطي أوي,the other said: what bothers me is that it is very low,"رد التاني , الي مدايقني انو واطي كتير",رد الثانى عليه الذى يضايقنى أن السور قصير جداً,رد الثاني عليه اللي مذايقني انو الدرابزين خابط عالآخر,رد التاني عليه قلو الي مضايقني أنو الطاولة واطية كتير,جاوبو الثاني اللي مقلقني انو واطي برشا,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.رد الثانى عليه الذى يضايقنى أن السور قصير جداً
Source: the other said: what bothers me is that it is very low
Translation: <|im_end|>
","
அந்த இரண்டாமவர் சொன்னார்: எனக்கு விருப்பமானது அது மிகக் குறைந்த அளவு."
و عليكم السلام و رحمة الله و بركاته أختي شيماء,"and to you peace and mercy and blessings of god,sister shayma",وعليكم السلام ورحمة الله وبركاته اختي شيماء,وعليكم السلام و رحمة الله و بركاته أختي شيماء,وعيكم السلام ورحمة الله وبركاته شيماء,وعليكم السلام ورحمة الله وبركاته أختي شيماء,و عليكم السلام و رحمة الله و بركاته أختي شيماء,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.وعليكم السلام و رحمة الله و بركاته أختي شيماء
Source: and to you peace and mercy and blessings of god,sister shayma
Translation: <|im_end|>
","://அந்த நீங்கள் அனைவருக்கும் சாந்தி, அருள், பரிசு இற்றுபோவது ஆகியது என்று சொல்லி கொடுக்கின்றேன், நீங்காள் சாய்மா சகோதரி."
ياريت نصالح القطر على نفسة ونعيد لية فرحتة وسعادتة بس مش على حساب الناس والغلابة اللى بتحبة,"I hope we make peace with the train, and return his happiness but not on the account of the people and the poor ones who love him",يا ريت نصالح القطار على حالو ونرجعلو فرحتو بس مش على حساب الناس المسكينة اللي بتحبو,اري  انه من اضرورى  الان  مصالحه  القطار على ونفسه . ولكن  لايجب  ان  نتعدى على  حقوق   جموع  الشعب من  محبيه .,يا ريت نصلح القطار  بس مش على حساب الفقرا الي بستخدموه,ياريت نصالح البلد على حالو ونرجع نعيد الو فرحتو وسعادته بس مو على حساب الناس الفقيرة الي بتحبو,نتمناو نصلحوا القطر على روحو و نرجعولو فرحتو و سعادتو اما موش على حساب الناس الزواولة اللي تحبو,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.اري  انه من اضرورى  الان  مصالحه  القطار على ونفسه . ولكن  لايجب  ان  نتعدى على  حقوق   جموع  الشعب من  محبيه .
Source: I hope we make peace with the train, and return his happiness but not on the account of the people and the poor ones who love him
Translation: <|im_end|>
","அவருடன் ரயிலின் வளர்ப்பை அமைத்து அவருடைய இனிமையைத் திருப்திக்கும், ஆனால் மக்களின் பொருளாதாரம் மற்றும் அவரை அன்புடன் அனுபவிக்கும் சொந்தக்காரர்களின் உரிமைகளை மீறக் கூடாது."
النوابغ اللى هيطورا دنيتنا,The geniuses who will develop our world.,العباقرة رح يطورو الدنيا,النوابغ من  سيطور  دنيانا .,النوابغ اللي بدهم يطوروا عالمنا,النوابغ الي رح يطورو دنيتنا,النوابغ اللي باش يطورولنا دنيتنا,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.النوابغ من  سيطور  دنيانا .
Source: The geniuses who will develop our world.
Translation: <|im_end|>
",://நமது உலகத்தை வளர்த்தும் அறிவியல் நிபந்தவர்கள்.
يا حلاوة يا اولاد ..,oh sweet boys,يا حلاوة يا ولاد,يالا  الروعه .,يا الله يا اولاد..,يا سلام يا ولاد,ملا عسل يا لولاد,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.يالا  الروعه .
Source: oh sweet boys
Translation: <|im_end|>
","
يالا  الروعه"
ألف ألف ألف شكر بجد ..,a thousand thanks seriously,جد الف الف الف شكرا,صدقاً شكراً جزيلاً ..,شكرا شكراااا عن جد,ألف أألف ألف شكراً عنجد .....,ألف ألف ألف شكر بالحق ..,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.صدقاً شكراً جزيلاً ..
Source: a thousand thanks seriously
Translation: <|im_end|>
","
நூறு நன்றி நிச்சயமாக"
تحلم معايا الشيماء حامد,would you dream with me? Alshayma' Hamed,تحلم معي الشيماء حامد,تحلم معى الشيماء حامد,شيماء حامد تحلم معايا,بتحلم معي الشيماء حامد,نحلم بشيماء حامد معايا,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.تحلم معى الشيماء حامد
Source: would you dream with me? Alshayma' Hamed
Translation: <|im_end|>
","
நீங்கள் என்னுடன் கனவு கட்டும்? ஆல்ஷைமா ஹாமெட்"
تحياتى,my regards,تحياتي,تحياتى,تحياتي,سلامات,تحياتى,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.تحياتى
Source: my regards
Translation: <|im_end|>
","
நண்பனே, எனது அனுதாபம்"
والمجال ده انا بحبه جدا خاصة الشخصيات ومدى احساسك وانتى تكتبى,and this field i like it so much specially the characters and How you feel while you are writing,المجال هاد كتير بحبو خاصة الشخصيات واحساسك وانتي بتكتبي,هذا من المجالات المحببه لى  وخاصه  مدى  احساسك  ودقتك عندما  تكتبين الشخصيات .,انا بحب هدا المجال كتير خاصه الشخصيات ومدى الاحساس وانتي تكتبي,والمجال هاد أنا بحبه كتير خاصة الشخصيات ومدى أحساسك وأنتي عم تكتبي,وإختصاص هذا أنا نحبو خاصةً كي تبدا تكب على الشخصيات والإحساس إلي تحسو,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.هذا من المجالات المحببه لى  وخاصه  مدى  احساسك  ودقتك عندما  تكتبين الشخصيات .
Source: and this field i like it so much specially the characters and How you feel while you are writing
Translation: <|im_end|>
","://இந்த துறை எனக்கு மிகவும் பிடித்தது, குறிப்பாக நீங்கள் எழுதும் பொருள்கள் மற்றும் நீங்கள் உணர்வு எப்போது என்பது."
ولا حاجة بس أنا بتعلم العزف على العود على قدي كده,Or a thing but I learned to play on Ood as I can like this,ولا اشي بس انا عم بتعلم عالعود يعني على قدي,لا شئ و لكنى أتعلم العزف على العود على قدر المستطاع,ما في اشي  بس بتعلم العزف براحتي هيك,ولا شي بس أنا عم أتعلم على العزف على العود على قدي هيك,حتى شئ اما انا قاعد نتعلم العزف على العود على قد ما انجم,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.لا شئ و لكنى أتعلم العزف على العود على قدر المستطاع
Source: Or a thing but I learned to play on Ood as I can like this
Translation: <|im_end|>
","://அது ஒரு பொருள் என்றும், நான் எனவே அரைப்பாட்டில் விளையாட அறிந்துள்ளேன் என்று முடியக் கிடைக்கும்."
سبت حد اتنين .. يختلفوا فى الأسماء لكنهم فى الآخر زى بعض ..,Saturday Sunday Monday... different in the names but at the end such as each other,سبت واحد واتنين الاسم غير بس كلهم زي بعض,السبت  والاحد والاثنين .... يختلفوا  فى الاسماء  ولكنهم  يتشابهون  تماما .,السبت الاحد الاثنين .. بختلفوا في الاسماء بس هم في الاخر زي بعض ..,السبت والأحد والأثنين ... بيختلفو في الأسم بس كلن متل بعض ....,سبت أحد إثنين ...مختلفين فالإسم اما كيف بعضهم,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.السبت  والاحد والاثنين .... يختلفوا  فى الاسماء  ولكنهم  يتشابهون  تماما .
Source: Saturday Sunday Monday... different in the names but at the end such as each other
Translation: <|im_end|>
","://சனியும், ஞாயிறு, புதன்... பெயர்களில் வேறுபடுகின்றனர், ஆனால் இறுதியில் ஒருவருக்கொருவர் ஒரேபோல் இருக்கின்றனர்."
طيب الحمد لله و نعيده الموضوع لو كان منقول بس فيه فائدة حاجة جديدة ده جميل و يهمنا الكل يستفيد منه,"OK, thanks God, we present the thread again, even if it's copied, at least it's beneficial and contains new subject which is nice and everyone can benefit from it ...","طيب الحمد لله وبنعيد , الموضوع لو كان منقول بس في فائدة جديدة هاد حلو كتير وبهمنا الكل يستفيد",حسناً الشكر للرب نتقدم بالموضوع مرة اخرى و كأنه منسوخ على الاقل فيه فائده جديدة و الجميل يحتوى موضوع جديد و الاهم ان الجميع يستفاد منه,طيب الحمدلله ونعيده الموضوع لو كان منقول بس في اشي جديد ومهم وممكن الكل يستفيد منه,طيب الحمدالله ونعيد الموضوع لو كان منقول بس فيه شي مفيد جديد وهو جميل وبيهمنا الكل يستفيد منو,باهي و الحمد لله و نعاودوا تقديم الموضوع حتى لو كان مسجل على الاقل حاجة مفيدة و فيها برشا مواضيع جديدة و الكل ينجموا يستفادوا منو,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.حسناً الشكر للرب نتقدم بالموضوع مرة اخرى و كأنه منسوخ على الاقل فيه فائده جديدة و الجميل يحتوى موضوع جديد و الاهم ان الجميع يستفاد منه
Source: OK, thanks God, we present the thread again, even if it's copied, at least it's beneficial and contains new subject which is nice and everyone can benefit from it ...
Translation: <|im_end|>
","போது நன்றி சொல்வது தெரியும், மீண்டும் போட்டிக்கை அளிக்கிறோம், அது கொண்டு கொடுக்கப்பட்டிருக்கும் பயன்பாடு குறைந்ததெரியும் மற்றும் அதில் புதிய விஷயம் உள்ளது அந்த அருமையானது மற்றும் அல்லாவற்றில் அனைவரும் பயன்பெற முடியும்."
انا وتقول ان انا اللى مقتنع بالكلام دة,And say that it is I who is convinced of this talk.,انا وبتحكي انو انا الي مقتنع بهاد الحكي,انا !! و تقول انى الذى مقتنع بهذا الكلام ؟,انا وبتقول اني مقتنع بهدا الحكي,أنا وتقول أن أنا اللي مقتنع بالكلام هاد,انا وتقول انا اللى مقتنع بالكلام هذا,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.انا !! و تقول انى الذى مقتنع بهذا الكلام ؟
Source: And say that it is I who is convinced of this talk.
Translation: <|im_end|>
",://நான் இந்த பேச்சை நம்பும் என்பது நான் யார்?
ماهو مفيش ملك فقير بردو,As there is no poor king,مهو برضو ما في ملك فقير,وايضا لا يوجد  ملك  فقير .,مهو كمان مفش ملك فقير,وكمان مافي ملك فقير,ما تلقاش ملك زوالي,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.وايضا لا يوجد  ملك  فقير .
Source: As there is no poor king
Translation: <|im_end|>
","://
وايضا لا يوجد ملك فقير."
وقلوب الفقراء أوعية القناعة ..,"and the hearts of the poor, a means to satisfaction...",قلوب الفقراء اوعية القناعة,وقلوب الفقراء أوعية القناعة ..,وقلوب الفقراء اوعيه القناعه ...,وقلوب الفقراء أكتر قناعة,قلوب الفقراء قنوعة,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.وقلوب الفقراء أوعية القناعة ..
Source: and the hearts of the poor, a means to satisfaction...
Translation: <|im_end|>
","
பொருளாட்டிகளின் இதயங்கள், அடிக்குறைப்பான திருப்தி வழி..."
رغم إني المفروض من الناس المتفوقة المتوقع لهم ما فوق التسعين,although I am supposed to be of the excellent people who are expected to have above ninety,مع اني من المتفوقين الي متوقع الهم فوق التسعين,رغم إننى من المفترض من الناس المتفوقين المتقع لهم فوق التسعين,مع اني من المتفوقين لاوالمتوقع الهم فوق التسعين,رغم أنو المقروض هو من الناس المتفوقة المتوقع الهم يجيبو فوق  التسعين,اما المفروض الناس المتفوقة يفوتوا التسعين,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.رغم إننى من المفترض من الناس المتفوقين المتقع لهم فوق التسعين
Source: although I am supposed to be of the excellent people who are expected to have above ninety
Translation: <|im_end|>
","
எண்ணிக்கையில் நான் நேர்மையான மக்களில் ஒருவன் என்று கருதப்படுகிறேன், அவர்கள் நடுவற்றும் நானேட்டான் எண்ணிக்கையில் உள்ளனர்."
وحينما أكون مضفقا أرى الشفقة في الآخرين,"and when I feel pity, I see the pathos in others",لما اكون متدايق بشفق عالناس التانيين,استطيع ان  ارى  الشفقه  فى  اعين الاخرين  وذلك  وقت  ضيقى .,وحينما اكون مضفقا ارى الشفقه في الاخرين,ووقت بكون متضايقة بشوف الشفقة في الناس,وكي نبدا فاد نشوف لخرين ساخفين علي,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.استطيع ان  ارى  الشفقه  فى  اعين الاخرين  وذلك  وقت  ضيقى .
Source: and when I feel pity, I see the pathos in others
Translation: <|im_end|>
",://அந்த நேரத்தில் அவர்களின் பாதோசம் காண முடியும் என்று அனுப்பினால் அன்னை அனுப்பினார்.
طبعا لما يكون الموضوع المنقول يستاهل يعني فيه الصفات و الخصائص اللي لسه قايلينها من شوية شكرا لك أختي ايمي على الاهتمام,offcourse transported subject is deserved meaning has adjectives and properties which is said lately thanks to you my sister emey on care,طبعا لما يكون الموضوع المنقول بستاهل يعني في الصفات والخصائص الي لسا حكيناها شكرا لك اختي ايمي على الاهتمام,بالطبع عندما يكون الموضوع المنقول يستحق بمعنى ان يحتوى على الصفات و الخصائص التى قيلت اخيراً ، شكراً لكى أختى الكريمة على الاهتمام,الموضوع المنقول بستاهل انو ننقله لانو فيه الصفات والخصائص اللي حكيناها قبل شوي وشكرا الك ايمي على اهتمامك,طبعا لما بكون الموضع المنقول بيستاهل يعني في الصفات والأقتراحات  الي لسه شفيها من شوي شكرا ألك اختي ايمي على الأهتمام,بالطبيعة وقت اللي يكون الموضوع المنقل يستاهل يعني فيه الصفات و الخصائص اللي مازال كيف قلناها توى نشكروك اختي ايمي على الاهتمام,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.بالطبع عندما يكون الموضوع المنقول يستحق بمعنى ان يحتوى على الصفات و الخصائص التى قيلت اخيراً ، شكراً لكى أختى الكريمة على الاهتمام
Source: offcourse transported subject is deserved meaning has adjectives and properties which is said lately thanks to you my sister emey on care
Translation: <|im_end|>
",பொருள் கடந்து செல்லப்பட்ட தலைப்பு என்பது கடந்த காலத்தில் சொல்லப்பட்ட தன்மைகளுடன் மற்றும் தனிப்பட்டதாக இருக்கும் பண்புகளுடன் வந்தது. நீங்கள் அன்புடன் காட்டியிருக்கும் அன்புடைய சகோதரி நான் கவனம் செலுத்துவதற்கு நன்றி.
اصحابي الحلوين كلكم بحبكم,"my beautiful friends, I love you all",اصحابي الحلوين بحبكم كلكم,اصحابي الحلوين كلكم بحبكم,اصدقائي يا حلوين الكوا كل المحبه والاحترام,رفقاتي الحوين كلكم بحبكم,اصحابي الغاليين الكلكم نحبكم,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.اصحابي الحلوين كلكم بحبكم
Source: my beautiful friends, I love you all
Translation: <|im_end|>
","://நன்மையான நண்பர்களே, நான் அனைவரையும் அன்பு கொழிப்பேன்"
هوا احنا عملنا ايييه ؟؟,what did we do ??,هو احنا شو عملنا ؟؟,ماذا فعلنا نحن ؟؟,واحنا شو سوينا ؟,هو نحنا شو عملنا ؟؟؟؟؟,و احنا شنوى عملنا؟؟,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.ماذا فعلنا نحن ؟؟
Source: what did we do ??
Translation: <|im_end|>
","://
என்ன நாம் செய்திருக்கிறோம்?"
قلت له افهمها زى ما تفهما يا ابن هنيه،,I told him you can understand it the way you like Hanya's son,حكتلو افهما زي ما بدك يا ابن هنية,قلت له افهمها كما تفهمها,يا ابن هنيه افهمها زي ما بدك,قلتلو أفهما متل ما بدك تفهما يا أبن هنية,قتلو افهمها كيما تفهمها يا ولد هنية,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.قلت له افهمها كما تفهمها
Source: I told him you can understand it the way you like Hanya's son
Translation: <|im_end|>
","
நான் அவருக்கு அதை நேர்மொற்று புரிந்து கொள்ள அளிக்கும் என்று சொன்னேன் ஹன்னாளின் மகன்."
دة لو قدرت تنسى ممكن اسابيع وممكن شهور وكمان ممكن سنين,"If she could forget, maybe weeks, months and years",هاد لو قدرت تنسى ممكن اسابيع وممكن شهور وكمان سنين,هذا اذا استطعت ان تنسى من الممكن اسابيع او شهور و ايضا سنوات,ممكن اسابيع وممكن شهور وممكن سنين كمان هدا لو قدرت تنسى,هاد لو قدرت تنسى ممكن اسابيع وممكن شهور وكمان ممكن سنين,هذا كان نجمت تنسى يمكن تقعد اسابيع ولا شهور ولا عوام وشوف تنسى ولا لا,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.هذا اذا استطعت ان تنسى من الممكن اسابيع او شهور و ايضا سنوات
Source: If she could forget, maybe weeks, months and years
Translation: <|im_end|>
","
إذا استطعت تنسى، ممكن أسابيع أو أشهر و أيضا سنوات"
على كل حال صدقيني انا بحب الحيوانات كتير اوي اوي,"anyway, believe me, I love animals a lot",على كل حال صدقيني انا بحب الحيوانات كتير كتير,على كل حال  صدقينى انا احب الحيوانات كثيرا جداا جداا,على كل حال صدقيني انا كتير بحب الحيوانات,على كل حال صدقيني أنا بحب الحيوانات كتير كتير كتير,على كل حال صدقيني انا نحب الحيوانات برشا,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.على كل حال  صدقينى انا احب الحيوانات كثيرا جداا جداا
Source: anyway, believe me, I love animals a lot
Translation: <|im_end|>
",://أي حالا، آمن، أنا أحب الحيوانات كثيرا جدا جدا
بس في الحاله دي وهي القياده حيكون الحمل كبير اوي,"but in this case, it'll be a burden to be a leader",بس في حالة القيادة هاي رح يكون الحمل كبير كثير,و لكن فى هذه الحاله و هى القياده سيكون الحمل كبير جداا,بس في هاي الحاله حالة القياده رح يكون الحمل كبير كثير,بس في الحالة هي وفي القيادة رح يكون الحمل كبير كتير,اما في الحالة هاذي شكون أدمين لحكاية صعيبة عليه برشا,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.و لكن فى هذه الحاله و هى القياده سيكون الحمل كبير جداا
Source: but in this case, it'll be a burden to be a leader
Translation: <|im_end|>
",://لكن فى هذه الحاله و هى القياده سيكون الحمل كبير جداا
